External Library Name, Link to License, License Name, Binaries using the license, URL
gtest, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master/LICENSE, BSD3, ./emulator.exe, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
mesa, https://mesa3d.org/license.html, MIT, lib64/gles_mesa/mesa_opengl32.dll ./emulator.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/MesaLib-10.4.2.tar.bz2
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll ./nimble_bridge.exe ./emulator.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
crashpad, Apache-2.0, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll ./emulator.exe ./nimble_bridge.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./crashreport.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, 
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
dirent, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/dirent-win32/NOTICE, MIT, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-curl.dll android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll ./emulator.exe ./nimble_bridge.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./crashreport.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/dirent-win32
utf8_range_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/LICENSE, BSD-2-Clause, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-curl.dll android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll ./emulator.exe ./nimble_bridge.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./crashreport.exe, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
regex, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/NOTICE, BSD-4-Clause, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll ./emulator.exe ./nimble_bridge.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./crashreport.exe, https://android.googlesource.com/platform/external/qemu.git/+/refs/heads/emu-master-dev/android/third_party/regex-win32/
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
grpc++_reflection, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
upb_collections_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
boringssl, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master/NOTICE, OpenSSL, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-curl.dll android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll ./emulator.exe ./nimble_bridge.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./crashreport.exe, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
upb_json_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll ./emulator.exe ./nimble_bridge.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe android-emu-agents.dll ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./crashreport.exe, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
